Name,Address,City_State_ZIP,ZIP,Number_of_Sites,Url
Phil-Aire Estates,"917 Glen Forest Drive,","Machesney Park, IL",61115,Not found,https://www.mhvillage.com/parks/36471
Rainbow Lane Mobile Home Court,"9305 North 2nd Street,","Machesney Park, IL",61115,Not found,https://www.mhvillage.com/parks/11637
"COCR Castle MHP, LLC Rock Island","2300 79th Avenue West,","Rock Island, IL",61201,129,https://www.mhvillage.com/parks/11227
Shady Acres Mobile Home Park,"403 Sycamore St.,","Albany, IL",61230,48,https://www.mhvillage.com/parks/11539
Hes Mobile Home Park,"709 North College Lane,","Aledo, IL",61231,9,https://www.mhvillage.com/parks/11694
Whitehouse Mobile Home Park,"109 South Pearl Street,","Atkinson, IL",61235,25,https://www.mhvillage.com/parks/37543
River Oaks Mobile Home Park,"14415 Barstow Road,","Barstow, IL",61236,50,https://www.mhvillage.com/parks/11202
Whispering Hills,"905 East 3rd Ave,","Coal Valley, IL",61240,50,https://www.mhvillage.com/parks/11671
Candlelight MHP,"1503 West 1st Avenue,","Coal Valley, IL",61240,451,https://www.mhvillage.com/parks/11203
Kershaw Mobile Home Park,"605 W 1st Ave,","Colona, IL",61241,108,https://www.mhvillage.com/parks/10577
